condition,item,test,layer,llh_left,llh_right,log_odds,test_passed
joins,4,test_3,6,-7.584990501403809,-7.260795593261719,-0.32419490814208984,False
joins,4,test_3,7,-7.087749481201172,-6.875323295593262,-0.21242618560791016,False
joins,4,test_3,8,-6.615602016448975,-6.0979533195495605,-0.5176486968994141,False
joins,4,test_3,9,-6.094578742980957,-5.538789749145508,-0.5557889938354492,False
joins,4,test_3,10,-4.849778175354004,-4.6066131591796875,-0.2431650161743164,False
joins,4,test_3,11,-3.9379773139953613,-3.9617621898651123,0.023784875869750977,True
joins,4,test_3,12,-5.690659523010254,-5.628232002258301,-0.062427520751953125,False
events,1,test_1,0,-55.35446548461914,-55.35446548461914,0.0,False
events,1,test_1,1,-12.491983413696289,-12.447206497192383,-0.04477691650390625,False
events,1,test_1,2,-11.337366104125977,-11.312422752380371,-0.02494335174560547,False
events,1,test_1,3,-10.838922500610352,-10.82524299621582,-0.01367950439453125,False
events,1,test_1,4,-10.679668426513672,-10.65413761138916,-0.02553081512451172,False
events,1,test_1,5,-10.035981178283691,-10.050429344177246,0.014448165893554688,True
events,1,test_1,6,-9.834939956665039,-9.831808090209961,-0.003131866455078125,False
events,1,test_1,7,-9.041129112243652,-8.955206871032715,-0.0859222412109375,False
events,1,test_1,8,-8.453658103942871,-8.40013599395752,-0.05352210998535156,False
events,1,test_1,9,-8.449972152709961,-8.467572212219238,0.017600059509277344,True
events,1,test_1,10,-6.887024879455566,-6.7967658042907715,-0.09025907516479492,False
events,1,test_1,11,-5.842455863952637,-5.786314964294434,-0.056140899658203125,False
events,1,test_1,12,-5.884824752807617,-5.936959266662598,0.05213451385498047,True
events,1,test_2,0,-59.67377853393555,-59.67377853393555,0.0,False
events,1,test_2,1,-13.798693656921387,-13.786575317382812,-0.012118339538574219,False
events,1,test_2,2,-12.732072830200195,-12.721833229064941,-0.010239601135253906,False
events,1,test_2,3,-12.050254821777344,-12.049039840698242,-0.0012149810791015625,False
events,1,test_2,4,-11.804561614990234,-11.80308723449707,-0.0014743804931640625,False
events,1,test_2,5,-11.483290672302246,-11.47140121459961,-0.011889457702636719,False
events,1,test_2,6,-11.786324501037598,-11.74919605255127,-0.037128448486328125,False
events,1,test_2,7,-11.217738151550293,-11.00602912902832,-0.21170902252197266,False
events,1,test_2,8,-11.203605651855469,-11.060030937194824,-0.14357471466064453,False
events,1,test_2,9,-11.265945434570312,-11.079509735107422,-0.18643569946289062,False
events,1,test_2,10,-9.266656875610352,-8.66585922241211,-0.6007976531982422,False
events,1,test_2,11,-7.238001823425293,-6.8725385665893555,-0.3654632568359375,False
events,1,test_2,12,-6.583217620849609,-6.56710958480835,-0.016108036041259766,False
events,3,test_1,0,-52.619667053222656,-52.619667053222656,0.0,False
events,3,test_1,1,-9.672098159790039,-9.69918441772461,0.027086257934570312,True
events,3,test_1,2,-9.110097885131836,-9.157410621643066,0.04731273651123047,True
events,3,test_1,3,-8.4348726272583,-8.480623245239258,0.04575061798095703,True
events,3,test_1,4,-7.656266212463379,-7.727068901062012,0.07080268859863281,True
